,location,latitude,longitude
0,Kurmaguda,17.3607708,78.5024039
1,Rajendranagar Mandal,17.32007385,78.41858898925364
2,Kismatpur,17.3351206,78.3926988
3,Sivarampalli,17.322384,78.430635
4,Attapur,17.3847673,77.9793799
5,Kothapet Village,17.3740429,78.5436126
6,Manikonda,16.449897,80.8334595
7,Banjara Hills,17.4177464,78.4399014
8,Jubilee Hills,17.4308362,78.4102882
9,Khairatabad,17.4117706,78.4622003
10,Ameerpet,17.4375012,78.4482505
11,Malkajgiri,17.4483438,78.5289727
12,L B Nagar,16.8880179,79.7162161
13,Gangaram,18.7993503,79.7454262
14,Pocharam,17.436614,78.6422235
15,Nagole,17.3775306,78.5601231
16,Uppal,18.1820237,79.4877158
17,Hitec City,17.4490055,78.3831376
18,Balanagar,18.0018724,78.2873322
19,Kukatpally,17.4930841,78.4054408
20,Trimulgherry,17.4746717,78.5069513
21,Moula Ali,17.4668161,78.5592161
22,Alwal,17.5022292,78.5088584
23,Old Alwal,17.5060381,78.5007272
24,Bolarum,17.5333993,78.5155767
25,Yapral,17.5030543,78.5407976
26,Sainikpuri,17.4892154,78.5424889
27,Kapra,58.4804569,23.02073905062165
28,Dammaiguda,17.5038613,78.5913259
29,Daira,57.2099638,27.7779738
30,Gachibowli,17.4436222,78.3519638
31,Bakaram,17.2890993,78.3134553
32,Kondapur,18.3309604,79.9224686
33,Chanda Nagar,17.373791,78.2612479
34,Miyapur,17.4981608,78.3567628
35,Bachupally,17.5410548,78.3635484
36,Quthbullapur,17.2356174,78.0285618
37,Kompally,18.0823869,78.003997
38,Medchal,17.6339929,78.4843146
39,RGIA,17.2515869,78.41629869771668
40,Bits Pilani,17.547231,78.5725623
